$$,Id_pregunta,Pregunta,Puntaje,reg_status,created_by,created_date,last_update_by,last_update_date,id_pregunta_tipo,id_habilidad,Id_sub_habilidad,id_insignia,&&
$$,190,10. Lee el texto que se presenta a continuación. Luego[00] escribe al menos 4 cosas que puedas hacer en tu vida diaria para cuidar el agua.\n\nComo pudiste leer[00] uno de los recursos más abundantes y necesarios para la vida se encuentra en un riesgo importante. No tanto porque el agua vaya a desaparecer[00] sino porque la humanidad la ha estado contaminando constantemente.\n\nSin agua potable[00] no sólo los humanos corremos peligro[00] sino también el resto de las plantas y animales. Está en nuestras manos hacer algo para conservarla y[00] así[00] mantener la vida de todos los seres con los que compartimos la Tierra.\n,1,activo,developer,2021-12-03,developer,2021-12-03,2,11,55,1,&&
$$,200,10. Lee el texto que se presenta a continuación[00] luego escribe al menos dos acciones concretas con las que te puedas comprometer para combatir la violencia de género.\n\nEl cambio social es una tarea que nos involucra a todas las personas que formamos parte de la sociedad. Si dejamos de asumir la responsabilidad que nos toca[00] no sólo estaremos aceptando la violencia de género que experimentamos día a día[00] sino que[00] además[00] la heredaremos a las generaciones que están por venir. ,1,activo,developer,2021-12-04,developer,2021-12-04,2,54,56,1,&&
$$,210,10. Lee el texto que se presenta a continuación. Luego escribe una estrategia que te sea funcional en los momentos que[00] como Fercho[00] tienes dificultad para concentrarte[00] seguir instrucciones o estar quieto.\n\nLa situación que Fercho experimentó tuvo un final feliz porque sus profesores lo apoyaron para descubrir su talento. Esto permitió[00] tanto a los maestros como al mismo Fercho[00] dirigir su energía en una actividad adecuada a su personalidad. ¿En algún momento de tu vida te has sentido como él? ¿Alguna vez has intentado concentrarte[00] pero terminas haciendo y pensando en otras cosas?,1,activo,developer,2021-12-05,developer,2021-12-05,2,1,15,1,&&
$$,220,10. Lee el texto y realiza la actividad.\n\nSofía logró descubrir la mítica ciudad de Ligum[00] pero antes tuvo que afrontar diversas dificultades y superar múltiples obstáculos. Tuvo que trabajar muy duro y sobreponerse a las críticas de muchas personas que pensaban que no lo conseguiría.\n\nA veces resulta complicado conseguir lo que queremos[00] y si nos topamos con muchas dificultades[00] es muy probable que decidamos rendirnos. Pero si de verdad deseamos algo[00] debemos luchar contra todos los impedimentos para tenerlo.\n\n¿Has vivido alguna situación parecida a la de Sofía? ¿Alguna vez te dijeron que no podías lograr algo[00] pero continuaste intentándolo?\n\n* Escribe tres consejos que le darías a una persona que se fija un objetivo[00] pero encuentra constantes dificultades para conseguirlo. Piensa en tu propia experiencia y en qué has hecho en ocasiones pasadas para no rendirte y superar los obstáculos.\n\nEscribe el nombre de cuatro emociones que has tenido alguna vez y divídelas en los subconjuntos de emociones positivas y emociones negativas.,1,activo,developer,2021-12-06,developer,2021-12-06,2,1,14,1,&&
$$,230,10. ¿Qué sintieron los humanos después de la primera cosecha?,1,activo,developer,2021-12-07,developer,2021-12-07,2,11,62,1,&&
$$,240,Como leíste en el texto[00] la combinación entre arte y tecnología ha permitido cambios en nuestra forma de apreciar el arte. Incluso los hay en la forma en la que hacemos algunas cosas en nuestra vida cotidiana. Un ejemplo de ello puede ser la comunicación.\n\n10. Si te acercas a una persona mayor que tú seguramente podrá contarte más sobre estos cambios y cómo se sintió frente a esas transformaciones. En la actualidad[00] ¿qué cambios ha traído la combinación del arte y la tecnología a tu vida cotidiana? ¿Recuerdas cómo te sentiste al saber que aquello que conocías estaba cambiando?\n,1,activo,developer,2021-12-08,developer,2021-12-08,2,1,13,1,&&
$$,250,Identifica qué emoción se presenta de acuerdo con el texto. Posteriormente redacta una nota para ti mismo que te recuerde qué hacer cuando sientas esa y otras emociones con las que no estés cómodo. Recuerda usar tu creatividad. Toma en cuenta qué actividades te gusta hacer y otras que quisieras descubrir.\n\n10. Como revisaste en el texto[00] el aburrimiento puede brindarte un contexto para fortalecer algunas habilidades como la tolerancia a la frustración y tu paciencia[00] pero tienes que poner atención en caso de que esta sensación perdure aún después de realizar algunas actividades que te gusten. ¿En algún momento has sentido una emoción negativa durante periodos largos de tiempo? Ahora que ya identificaste esa emoción[00] ¿qué has hecho para reponerte de ella?,1,activo,developer,2021-12-09,developer,2021-12-09,2,1,14,1,&&
$$,260,Ruecuerda en un momento en el cual hayas omitido ofrecer una disculpa por un error que pudiste evitar. Enseguida graba un audio donde le expliques a esa persona por qué piensas que merece que le ofrezcas una disculpa. Comparte con tu grupo cómo piensas que se sentiría esa persona si recibiera el audio.\n\n10. En la actividad anterior identificaste el orden que le permitió a René reflexionar sobre ofrecer una disculpa a Ingrid. Seguramente has vivido algún momento como René. ¿Recuerdas qué te motivó a reflexionar? ¿Piensas que ofrecer una disculpa puede hacer sentir mejor a las otras personas?,1,activo,developer,2021-12-10,developer,2021-12-10,2,8,42,1,&&
$$,270,Imagina que estás a cargo de explicar en tu localidad la importancia del respeto hacia la diversidad. Posteriormente haz un cartel con texto e imágenes que tenga los datos necesarios para que tus vecinos se informen sobre el tema. Incluye la importancia de respetar y aceptar las características de la comunidad LGBTI+.\n\n10. En la lectura[00] además de identificar los conceptos básicos que facilitan tu acercamiento a los temas relacionados con la comunidad LGBTI+[00] también revisaste que lo que siempre ha buscado esta comunidad es respeto y aceptación. Pues aún en nuestros días en algunos lugares existen prejuicios que niegan el derecho que tenemos de expresar nuestra sexualidad con libertad. ¿Has notado si en tu localidad existe respeto hacia esta comunidad[00] o bien[00] si persisten los prejuicios contra la libertad de expresión sexual? ¿Conoces a algún miembro de esta comunidad?,1,activo,developer,2021-12-11,developer,2021-12-11,2,54,55,1,&&
$$,280,En la pregunta anterior pudiste darle un giro a la historia[00] brindándole a Wil y Camil la oportunidad de sobreponerse ante las adversidades provocadas por el ataque inesperado de la medusa. Seguro has tenido algún momento en tu vida que[00] como ellos[00] tuviste que buscar la solución para retomar tu camino y llegar a tus metas.\n\n10. Piensa en algún momento en el que hayas logrado atravesar una adversidad[00] puede ser que la hayas solucionado por tu cuenta o que alguien más te haya apoyado. Por último[00] redacta una carta para un amigo en la que menciones el episodio que viviste y le ofrezcas algunos consejos para reponerse de una eventualidad semejante.,1,activo,developer,2021-12-12,developer,2021-12-12,2,1,14,1,&&
$$,290,Recuerda algún momento de tu vida en el que hayas tenido algún conflicto con otra persona y les haya sido difícil llegar a una solución adecuada para ambas partes. Después redacta cuál fue tu reacción en ese momento y qué cambiarías para poder afrontar dicho conflicto dando una solución libre de violencia y que resulte justa para ti y la otra persona.\n\n10. En la lectura pudiste identificar un momento en la vida de Évariste Galois donde se enfrentó a un conflicto marcado por un duelo de pistolas[00] y aunque no se especifica el motivo[00] el autor deja entrever que el contexto de aquella época fue parte del impedimento para que se negara a desistir de ese encuentro. ¿En algún momento te has encontrado frente alguna situación que donde es difícil hallar una solución? ¿Esa situación involucró a otras personas además de ti?,1,activo,developer,2021-12-13,developer,2021-12-13,2,54,58,1,&&
$$,300,Piensa en un momento en el que[00] como Laura[00] hayas podido sumar nuevas experiencias a través de tus emociones. Ahora graba un audio para ti del futuro donde te aconsejes sobre la importancia que tienen las nuevas emociones en tu vida.\n\n10. En la pregunta anterior identificaste una salida diferente para apoyar a los personajes de la historia con la ayuda de Bartola. Este personaje tiene la característica particular de reflejar las múltiples emociones que caracterizan a una persona[00] incluso de aquellas que aún no ha experimentado. ¿Te ha sucedido que[00] como Luna[00] en ocasiones te encuentras frente a una nueva experiencia que despierta nuevas emociones en ti?,1,activo,developer,2021-12-14,developer,2021-12-14,2,5,22,1,&&
$$,310,Evoca un momento de tu vida en el que hayas tenido que tomar una decisión que te afectaría a ti y a otras personas. Escribe si en esa decisión que tomaste identificas una o más teorías éticas. Por último[00] redacta una solución que sea conveniente para todos.\n\n10. En la lectura[00] además de identificar las teorías éticas[00] pudiste reflexionar y poner en práctica cómo una decisión asociada a cada teoría podría tener resultados diferentes. ¿Te ha pasado que estando frente a un momento en el que debes tomar una decisión a veces te dejas llevar por las emociones y otras tal vez por tu raciocinio o por lo que sería más conveniente para ti y para los demás involucrados?,1,activo,developer,2021-12-15,developer,2021-12-15,2,8,41,1,&&
$$,320,En la pregunta anterior identificaste cómo René consiguió reflexionar sobre sus emociones y el perdón[00] incluso sintiéndose lastimada por algunos momentos que vivió con su padre e Ingrid. \nPiensa en algún momento en que[00] al igual que René[00] te sentiste dañado y a partir de elementos como el perdón[00] la paciencia y la reflexión aprendiste a lidiar con ese tipo de situaciones y a fortalecerte. \n\n10. Ahora escribe una carta donde compartas qué harías y dirías si te encontraras en una situación parecida[00] destacando los puntos de fortaleza que tienes en la actualidad.\n¿Te ha sucedido como a René?[00] es decir[00] ¿has perdonado personas o situaciones en tu vida que a la vez te permiten reflexionar y fortalecerte?,1,activo,developer,2021-12-16,developer,2021-12-16,2,1,14,1,&&
$$,330,Es cierto[00] la era digital ha transformado la manera en la que realizamos una gran cantidad de actividades en nuestra vida cotidiana.\n\n10. Escribe qué se podría hacer para preservar el bienestar del presente y futuro aun con el uso de la tecnología. ¿Podrías imaginarte cómo sería nuestra vida sin teléfonos inteligentes o sin computadoras? Pero ¿y si supieras con certeza que la consecuencia de que ahora tengamos todos estos artefactos tecnológicos fuera dejar sin agua a las generaciones futuras? ¿Cómo te sentirías al respecto?,1,activo,developer,2021-12-17,developer,2021-12-17,2,8,42,1,&&
$$,340,Ahora que sabes que uno de los alientos más poderosos es Murha[00] piensa en algún momento donde te hayas enfrentado a alguna situación problemática[00] ya sea solo o acompañado por alguien. Identifica cómo piensas que esa característica en ti ayudó a resolver esa situación. Por último[00] reúnete con tus compañeros y compartan cómo su particularidad podría ser útil para apoyarse entre sí en momentos difíciles.\n\n10. Aun con el poder que este aliento tuvo dentro de la lectura[00] el trabajo en equipo y la participación de cada uno de los héroes fue necesario para vencer a los alientos. ¿Has reflexionado sobre tus características particulares? ¿Has pensado cómo estas te ayudan a participar en la resolución de conflictos colectivamente? Escribe tu respuestas y compártelas con tu grupo.,1,activo,developer,2021-12-18,developer,2021-12-18,2,54,56,1,&&
$$,350,Platica con tus papás[00] tíos[00] abuelos o tutores sobre el tema. Pregúntales cuál consideran que es el problema de que las instituciones bancarias manejen nuestro dinero y qué problemas consideran que las criptomonedas podrían resolver o generar. Anota tus conclusiones.\n\n10. Sin duda el tema de las criptomonedas es amplio y complejo. Pero la información con la que ahora cuentas te permitirá seguir investigando y aprendiendo más sobre el tema. Parte importante del asunto es identificar también qué tipo de problemas sociales resuelven y qué complicaciones nuevas surgen junto con ellas. Con esto en mente[00] lleva a cabo el ejercicio que se presentó en las instrucciones.\n,1,activo,developer,2021-12-19,developer,2021-12-19,2,54,55,1,&&
$$,360,Como sabes[00] uno de los primeros pasos para involucrarnos en la resolución de un problema es generar interés hacia el mismo. Una manera de hacerlo es dándonos la oportunidad de conectar en un nivel emocional con quienes están atravesando por estas circunstancias. Al abrirnos a la experiencia de los demás estaremos desarrollando empatía.\n\n10. Imagina por unos momentos que eres un niño desafortunado que no sabe si hoy podrá comer algo. ¿Cómo se sentiría tu cuerpo al encontrarse afectado por el hambre? ¿Qué emociones crees que tendrías?\nCon esto en mente[00] escríbele una carta breve a otro niño como tú para ayudarlo a volverse consciente de este grave problema.\n,1,activo,developer,2021-12-20,developer,2021-12-20,2,8,41,1,&&
$$,370,“Podrá parecer difícil al principio[00] pero todo al principio es difícil”[00] decía Miyamoto Musashi[00] uno de los samuráis errantes más famosos de la historia. Con este consejo[00] Musashi nos habla de la importancia de ser pacientes y de perseverar en todo lo que nos propongamos para que seamos capaces de alcanzarlo.\n\n10. Piensa en uno de tus anhelos más importantes. Posteriormente considera las dificultades que podrías encontrar en el camino para poder hacerlo realidad. Por último[00] escríbele un mensaje a tu yo del futuro en el que le recuerdes las razones por las que vale la pena esforzarse y perseverar para alcanzar esa meta.\n,1,activo,developer,2021-12-21,developer,2021-12-21,2,1,14,1,&&
$$,380,Es cierto[00] desde que la vida se logró desarrollar en nuestro planeta innumerables especies han surgido y también han experimentado su extinción debido a diversos cambios en el entorno. Pero actualmente uno de los principales factores que amenazan la vida de los animales es la crueldad del ser humano. Es importante recordar que el primer paso para cambiar una conducta destructiva es reconociéndola y hacerla consciente.\n\n10. Reflexiona sobre cuáles consideras que sean las principales razones por las que[00] como seres humanos[00] seamos crueles e indiferentes hacia el sufrimiento de los animales. Escribe al menos tres razones.,1,activo,developer,2021-12-22,developer,2021-12-22,2,54,55,1,&&
$$,390,La felicidad[00] como decía Aristóteles[00] es el único bien que todos queremos por sí mismo. Dicho de otra manera[00] queremos dinero porque con él podemos comprarnos cosas. Queremos un teléfono celular porque con él podemos comunicarnos; queremos ropa para vernos de cierta manera. Pero queremos la felicidad por la manera en la que nos sentimos cuando la experimentamos. Por ello[00] la única manera de monitorear qué tan felices somos es evaluando nuestra experiencia.\n\n10. Recuerda un momento en el que te hayas sentido feliz. Ahonda en los detalles[00] como el lugar en el que estabas[00] las personas que te rodeaban[00] los pensamientos que surgían[00] etcétera. A continuación[00] escribe en qué parte del cuerpo experimentabas esta sensación de felicidad y cómo la sentías.,1,activo,developer,2021-12-23,developer,2021-12-23,2,5,21,1,&&
$$,400,Sin duda[00] la industria del vestido es muy necesaria. No obstante[00] muchas de las empresas que actualmente se dedican a este negocio están haciendo las cosas muy mal[00] tanto para sus trabajadores como para el medio ambiente. Señalarlo es el primer paso que debemos tomar para poder modificarlo.\n\n10. Imagina imagina que tuvieras que hacer una campaña en redes sociales para concientizar a la gente sobre este asunto. ¿Qué les dirías? ¿De qué manera les comunicarías tu preocupación por el bienestar de los trabajadores de la industria de la moda y por el medio ambiente? Escríbelo y compártelo con tus compañeros.,1,activo,developer,2021-12-24,developer,2021-12-24,2,8,42,1,&&
$$,410,A veces no juzgamos como incorrectas las malas acciones que se llevan a cabo en la red[00] sólo por el hecho de que no se ven físicamente[00] pues resultan lejanas e impersonales. Pero ¿a ti te gustaría que otra persona compartiera de forma indiscriminada información que tú compartiste en tus redes sociales? ¿Te gustaría que alguien se apropiara de la autoría de algo que tú has escrito anteriormente en la red? Si a ti no te gustaría que te ocurran estas situaciones[00] debemos asegurarnos de que nosotros tampoco incurramos en este tipo de acciones.\n\n10. Escribe tres normas para el uso de internet que consideres imprescindible incluir en un código ético digital.,1,activo,developer,2021-12-25,developer,2021-12-25,2,8,42,1,&&
$$,450,En la actividad anterior[00] identificaste y organizaste el método que le permitió a la sabia mujer del Sur[00] a partir de su sueño[00] descubrir cuál sería el hogar de las palabras y[00] así[00] preservar el conocimiento de una forma diferente a la memoria. ¿Te has preguntado cuál método podrías utilizar actualmente para preservar tu conocimiento? ¿Crees que eso que sabes podría ser de utilidad para otras personas en tiempos futuros?\n\n10. Ahora[00] reflexiona sobre un conocimiento que consideres que podría ser de utilidad para alguna persona en el futuro[00] puedes ser tú mismo. Este conocimiento puede ser emocional[00] científico[00] histórico[00] una experiencia[00] etcétera. Posteriormente[00] regístralo usando el método que sea más útil para ti. ,1,activo,developer,2021-12-26,developer,2021-12-26,2,8,42,1,&&
$$,480,¿Puedes imaginarte lo que significó para los alquimistas jamás haber encontrado el elixir de la inmortalidad o la capacidad de transformar cualquier metal en oro? Probablemente hubo mucha frustración[00] pero también surgió de ahí algo muy importante: un genuino entendimiento de cómo funcionan algunas de las propiedades de los elementos. El error no es necesariamente un fracaso[00] también representa la posibilidad de seguir aprendiendo y de reajustar el camino. Sin alquimistas[00] hoy en día no habría químicos.\n\n10. Ahora[00] imagina que te encuentras a alguien que te dijera que todo el trabajo que hicieron los alquimistas no sirvió para nada porque no lograron sus objetivos principales. ¿Cómo le explicarías que el valor de la alquimia no se fundamenta en haber alcanzado la meta? Escríbelo en un párrafo.,1,activo,developer,2021-12-27,developer,2021-12-27,2,1,14,1,&&
$$,490,Además del uso de la razón[00] otro de los aspectos evolutivos que le han permitido sobrevivir al ser humano como especie es el desarrollo de sus emociones. Gracias a ellas[00] podemos conectar con el sufrimiento y las necesidades de otros seres humanos en lugar de permanecer indiferentes. Después de un evento tan traumático y doloroso como pueden llegar a serlo las catástrofes naturales[00] es indispensable que todos[00] en la medida de nuestras posibilidades[00] asumamos un papel activo para tratar de aliviar el daño causado. Existen muchísimas formas de ayudar[00] sólo es cuestión de encontrar el lugar y la actividad en la que podamos contribuir con nuestro granito de arena.\n\n10. De acuerdo con tus habilidades y fortalezas[00] ¿de qué manera se te ocurre que podrías ayudar a la gente que lo necesite después de una catástrofe natural como un sismo? Escríbelo a continuación.,1,activo,developer,2021-12-28,developer,2021-12-28,2,54,56,1,&&
$$,510,Los dispositivos electrónicos como los celulares han traído grandes ventajas a nuestras vidas. Ahora podemos comunicarnos con las personas que amamos y verlas a través de la pantalla del celular. También podemos jugar en línea con nuestros amigos[00] investigar información de los temas que nos interesan[00] ver video tutoriales y aprender a hacer la comida que más nos gusta. Aunque todas estas posibilidades pueden crear sentimientos negativos[00] sobre todo en los niños y las niñas. ¿Te ha pasado que te sientes irritado[00] frustrado o ansioso si no tienes el celular[00] videojuego o algún aparato electrónico cerca?\n\n10. A continuación[00] para que puedas identificar las emociones positivas y negativas que te provocan los dispositivos electrónicos que usas en tu día a día[00] haz una lista de pros y contras de cómo te sientes con y sin ellos en tu vida diaria. Identifica qué estrategias o prácticas guiadas de la plataforma te pueden ayudar a mitigar los estados emocionales negativos por el uso de dispositivos electrónicos. ,1,activo,developer,2021-12-29,developer,2021-12-29,2,5,21,1,&&
$$,520,Aplicar nuestros conocimientos de diferentes materias en diversas áreas de nuestras vidas depende del conocimiento que tengamos de ellas. Seguramente existen algunas materias que dominas con mayor facilidad que otras. ¿Has observado si tus colegas conocen alguna materia o temas diferentes o iguales a los que tú dominas? ¿En algún momento has solicitado o brindado apoyo para entender algún tema que sea difícil?\n\n10. Escoge un tema en el que consideres que tienes mayor facilidad de aprender y explicar. A continuación[00] escribe cómo podrías compartir estos conocimientos con otros compañeros o cómo esta habilidad podría beneficiar a los demás. ,1,activo,developer,2021-12-30,developer,2021-12-30,2,8,42,1,&&
